program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Florida Resilient Florida Grant Program,FL,Statewide,Investments,ALL,Statewide grants for resilience planning and capital projects coordinated by the Florida Office of Resilience and Coastal Protection.,"Eligible projects: flood_mitigation, shoreline_protection, stormwater | Eligible applicants are counties and municipalities. | Administered by: Florida Department of Environmental Protection","Up to $5,000,000",Ongoing,2026-05-04,No,https://floridadep.gov/ResilientFlorida
Florida HOME Investment Partnerships Program,FL,Statewide,Grants,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,HOME formula funds passed through Florida Housing Finance Corporation to local participating jurisdictions.,"Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: down_payment, new_construction, rehab | Households at or below 80% AMI. Specific use varies by jurisdiction. | Administered by: Florida Housing Finance Corporation","Up to $60,000",Ongoing,2026-05-04,No,https://www.floridahousing.org/programs/special-programs
Florida CDBG-DR (Community Development Block Grant - Disaster Recovery),FL,Statewide,Grants,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,Federally-funded long-term recovery program administered by the Florida Department of Commerce. Includes the Hurricane Ian / Nicole and Hurricane Idalia recovery rounds active in 2026.,"Owner-occupied required | Income-qualified (≤ 120% AMI) | Eligible projects: disaster_recovery, reconstruction, rehab | Property must be in a presidentially-declared disaster area. Households up to 120% AMI eligible, with prioritization for those <=80% AMI. Application through Florida Department of Commerce. | Administered by: Florida Department of Commerce","Up to $350,000",Ongoing,2026-05-04,No,https://floridajobs.org/community-planning-and-development/assistance-for-government-and-nonprofit-organizations/community-development-block-grant-disaster-recovery-program
Florida Home-Buyer Loan Program (HFA First Mortgage Bond Loans),FL,Statewide,Finance Solutions,CONDO; SFH; TOWNHOUSE,Bond-funded first mortgage program offered through participating lenders.,Owner-occupied required | Income-qualified | Eligible projects: home_purchase | Income and acquisition-cost limits set per county. Borrower must complete a Florida-Housing-approved homebuyer education course. | Administered by: Florida Housing Finance Corporation,"Up to $750,000",Ongoing,2026-05-04,No,https://www.floridahousing.org/programs/homebuyer-overview-page
Florida Salute Our Soldiers (SOS) Military Loan Program,FL,Statewide,Finance Solutions,CONDO; SFH; TOWNHOUSE,"Florida Housing program tailored to active-duty military, reservists, and veterans.","Owner-occupied required | Income-qualified | Eligible projects: down_payment, home_purchase | Borrower must qualify for VA, FHA, USDA, or conventional financing. Income / acquisition limits apply. Available statewide. | Administered by: Florida Housing Finance Corporation","Up to $10,000",Ongoing,2026-05-04,No,https://www.floridahousing.org/programs/homebuyer-overview-page/salute-our-soldiers
Florida HEMR / Hurricane Loss Mitigation Program (HLMP),FL,Statewide,Grants,MANUFACTURED; MULTIFAMILY; SFH,"State-funded program operated by Florida Division of Emergency Management to harden mobile / manufactured homes, retrofit single-family homes, and fund hurricane-research outreach.","Owner-occupied required | Income-qualified | Eligible projects: roof_strengthening, tie_downs, wind_mitigation | Specific funding sub-programs vary year-to-year. Mobile home tie-down assistance available statewide for income-qualified owners. | Administered by: Florida Division of Emergency Management","Up to $10,000",Ongoing,2026-05-04,No,https://www.floridadisaster.org/dem/mitigation/
Florida Veterans Affairs Property Tax Exemption (Statute 196.081 / 196.082),FL,Statewide,Tax Credits,CONDO; SFH; TOWNHOUSE,Constitutional and statutory total property-tax exemption for qualifying disabled veterans.,"Owner-occupied required | Eligible projects: property_tax_relief | Veteran must be Florida resident, honorably discharged, and 100% permanently and totally disabled (combat-related). Surviving spouse can carry over the exemption subject to conditions. | Administered by: Florida Department of Revenue / County Property Appraisers",100%,Ongoing,2026-05-04,No,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx
Florida Senior / Low-Income Property Tax Exemption (Statute 196.075),FL,Statewide,Tax Credits,CONDO; SFH; TOWNHOUSE,Local-option additional homestead exemption for low-income seniors. Hillsborough County and the City of Tampa both offer it.,"Owner-occupied required | Income-qualified | Eligible projects: property_tax_relief | Must be 65+ as of January 1, have legal/equitable title to the homestead, and household adjusted gross income below the annually-adjusted threshold (~$36,614 for 2026). | Administered by: County Property Appraisers (Hillsborough)","Up to $50,000",Ongoing,2026-05-04,No,https://www.hcpafl.org/Property-Info/Exemptions
Florida Homestead Exemption (Statute 196.031),FL,Statewide,Tax Credits,CONDO; SFH; TOWNHOUSE,"Florida's foundational homestead exemption, providing up to $50,000 off assessed value plus the Save Our Homes annual assessment cap.",Owner-occupied required | Eligible projects: property_tax_relief | Must own and reside in the property as primary residence as of January 1. File with the Hillsborough County Property Appraiser before March 1. | Administered by: Hillsborough County Property Appraiser,"Up to $50,000",Ongoing,2026-05-04,No,https://www.hcpafl.org/Property-Info/Exemptions
Florida Save Our Homes Portability,FL,Statewide,Tax Credits,CONDO; SFH; TOWNHOUSE,Allows existing Florida homeowners to carry their Save Our Homes assessment cap to a new primary residence.,Owner-occupied required | Eligible projects: property_tax_relief | Must establish new homestead within 3 tax years of abandoning the previous one. Apply with Form DR-501T at the new county's property appraiser. | Administered by: Hillsborough County Property Appraiser,"Up to $500,000",Ongoing,2026-05-04,No,https://www.hcpafl.org/Property-Info/Exemptions
Florida Renewable Energy Production Tax Credit (Statute 220.193) - Commercial,FL,Statewide,Tax Credits,COMMERCIAL,Corporate income tax credit on qualifying renewable energy generation in Florida. Periodically funded; subject to annual cap.,"Eligible projects: biomass, hydrogen, solar_pv, wind | Available to corporations operating qualifying generation facilities in Florida. Subject to annual statutory cap. | Administered by: Florida Department of Revenue [needs review: low confidence (0.65)]",$0.01 per unit,Ongoing,2026-05-04,Yes,https://floridarevenue.com/
Residential Clean Energy Credit (Section 25D),USA,Federal,Tax Credits,CONDO; SFH; TOWNHOUSE,"Federal income tax credit equal to 30% of the cost of new, qualified clean-energy property installed at a U.S. residence. Phases down to 26% in 2033 and 22% in 2034.","Owner-occupied required | Eligible projects: battery_storage, fuel_cell, geothermal_heat_pump, small_wind, solar_pv, solar_water_heating | Property must be located in the U.S. and used as a residence by the taxpayer. Claim with IRS Form 5695. No income limit. Credit is non-refundable but unused amounts may be carried forward. | Administered by: Internal Revenue Service",30%,2034-12-31,2026-05-04,No,https://www.irs.gov/credits-deductions/residential-clean-energy-credit
Energy Efficient Home Improvement Credit (Section 25C),USA,Federal,Tax Credits,CONDO; SFH; TOWNHOUSE,"Federal income tax credit for qualifying energy-efficiency upgrades to an existing primary residence. Includes specific sub-caps such as $600 for windows, $500 for doors, $150 for home energy audits, and $2,000 combined for heat pumps.","Owner-occupied required | Eligible projects: air_sealing, biomass_stove, boiler, central_ac, doors, furnace, heat_pump, heat_pump_water_heater, home_energy_audit, insulation, windows | Must be installed in the taxpayer's primary residence in the United States. Claim with IRS Form 5695. Equipment must meet the IRS efficiency thresholds in place at the time of installation. | Administered by: Internal Revenue Service","30% (up to $3,200)",2032-12-31,2026-05-04,No,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit
HOMES Rebate Program (DOE Section 50121),USA,Federal,Rebates,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,"Inflation Reduction Act rebate for whole-home energy retrofits, scaled by modeled or measured energy savings. Administered by states; Florida DEO is the designated implementer.","Income-qualified | Eligible projects: energy_efficiency, whole_home_retrofit | Rebate amount depends on household income (above/below 80% AMI) and projected energy savings (20% / 35% thresholds). Only available once Florida launches its implementation; check the Florida program portal for live status. | Administered by: U.S. Department of Energy / Florida Department of Commerce","Up to $8,000",2031-09-30,2026-05-04,No,https://www.energy.gov/scep/home-energy-rebates
High-Efficiency Electric Home Rebate Act (HEEHRA),USA,Federal,Rebates,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,IRA point-of-sale rebate program for electrification upgrades for households below 150% of Area Median Income. Up to 100% of cost covered for households below 80% AMI.,"Income-qualified (≤ 150% AMI) | Eligible projects: electrical_panel_upgrade, heat_pump, heat_pump_dryer, heat_pump_water_heater, induction_stove, insulation, ventilation, wiring | Households at or below 80% AMI: up to 100% of project cost. 80%-150% AMI: up to 50%. Per-item caps include $8,000 for heat pumps and $1,750 for heat pump water heaters. | Administered by: U.S. Department of Energy / Florida Department of Commerce","Up to $14,000",2031-09-30,2026-05-04,No,https://www.energy.gov/scep/home-energy-rebates
FEMA Hazard Mitigation Grant Program (HMGP),USA,Federal,Grants,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,"Post-disaster mitigation grant administered by FEMA through state and local governments. Funds projects that reduce future disaster losses, including wind retrofits, elevation, and flood mitigation for homes.","Owner-occupied required | Eligible projects: elevation, flood_mitigation, tornado_safe_room, wildfire_mitigation, wind_retrofit | Available only after a Presidential disaster declaration. Florida Division of Emergency Management coordinates eligible projects; homeowners typically apply via their county emergency management office. | Administered by: Federal Emergency Management Agency / Florida Division of Emergency Management",75%,Ongoing,2026-05-04,No,https://www.fema.gov/grants/mitigation/hazard-mitigation
FEMA Building Resilient Infrastructure and Communities (BRIC),USA,Federal,Investments,ALL,"Competitive pre-disaster mitigation grant program. Funds projects that reduce risk from natural hazards, with capability- and capacity-building set-asides.","Eligible projects: flood_mitigation, infrastructure_resilience, wind_mitigation | Eligible applicants are state, local, tribal, and territorial governments. Individuals cannot apply directly but benefit from sub-applications such as wind retrofit programs administered locally. | Administered by: Federal Emergency Management Agency","Up to $50,000,000",Ongoing,2026-05-04,No,https://www.fema.gov/grants/mitigation/building-resilient-infrastructure-communities
IRA Heat Pump Space Heating / Cooling Rebate (HEEHRA),USA,Federal,Rebates,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,"Per-technology cap inside HEEHRA: up to $8,000 toward the cost of a qualifying electric heat pump for space heating and cooling.",Income-qualified (≤ 150% AMI) | Eligible projects: heat_pump | Households at or below 80% AMI can receive up to 100% of project cost; 80%-150% AMI up to 50%; above 150% AMI ineligible. Implemented through state energy offices. | Administered by: U.S. Department of Energy / Florida Department of Commerce,"Up to $8,000",2031-09-30,2026-05-04,No,https://www.energy.gov/scep/home-energy-rebates
IRA Heat Pump Water Heater Rebate (HEEHRA),USA,Federal,Rebates,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,HEEHRA per-technology cap for heat pump water heaters.,Income-qualified (≤ 150% AMI) | Eligible projects: heat_pump_water_heater | Income tier rules and state-administered rollout same as HEEHRA umbrella. | Administered by: U.S. Department of Energy / Florida Department of Commerce,"Up to $1,750",2031-09-30,2026-05-04,No,https://www.energy.gov/scep/home-energy-rebates
IRA Electric Stove / Cooktop / Oven Rebate (HEEHRA),USA,Federal,Rebates,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,HEEHRA cap for induction / electric cooking appliances replacing gas units.,Income-qualified (≤ 150% AMI) | Eligible projects: induction_stove | Subject to state implementation timeline and income tier scaling. | Administered by: U.S. Department of Energy / Florida Department of Commerce,Up to $840,2031-09-30,2026-05-04,No,https://www.energy.gov/scep/home-energy-rebates
IRA Heat Pump Clothes Dryer Rebate (HEEHRA),USA,Federal,Rebates,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,HEEHRA cap for heat pump clothes dryers replacing electric resistance / gas dryers.,Income-qualified (≤ 150% AMI) | Eligible projects: heat_pump_dryer | Income tier scaling identical to HEEHRA umbrella. | Administered by: U.S. Department of Energy / Florida Department of Commerce,Up to $840,2031-09-30,2026-05-04,No,https://www.energy.gov/scep/home-energy-rebates
IRA Electrical Panel Upgrade Rebate (HEEHRA),USA,Federal,Rebates,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,HEEHRA cap for upgrading the electrical service panel to enable electrification.,Income-qualified (≤ 150% AMI) | Eligible projects: electrical_panel_upgrade | Subject to HEEHRA income tier rules and state rollout. | Administered by: U.S. Department of Energy / Florida Department of Commerce,"Up to $4,000",2031-09-30,2026-05-04,No,https://www.energy.gov/scep/home-energy-rebates
IRA Wiring Rebate (HEEHRA),USA,Federal,Rebates,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,HEEHRA per-technology cap for branch / circuit wiring upgrades.,Income-qualified (≤ 150% AMI) | Eligible projects: wiring | HEEHRA income tier rules apply. | Administered by: U.S. Department of Energy / Florida Department of Commerce,"Up to $2,500",2031-09-30,2026-05-04,No,https://www.energy.gov/scep/home-energy-rebates
"IRA Insulation, Air Sealing, and Ventilation Rebate (HEEHRA)",USA,Federal,Rebates,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,HEEHRA cap for envelope improvements supporting electrified mechanical systems.,"Income-qualified (≤ 150% AMI) | Eligible projects: air_sealing, insulation, ventilation | HEEHRA income tier rules apply. | Administered by: U.S. Department of Energy / Florida Department of Commerce","Up to $1,600",2031-09-30,2026-05-04,No,https://www.energy.gov/scep/home-energy-rebates
"Federal EV Charger Tax Credit (Section 30C, Alt Fuel Refueling Property)",USA,Federal,Tax Credits,CONDO; SFH; TOWNHOUSE,Federal income tax credit for installing residential EV charging equipment in low-income or non-urban census tracts.,Owner-occupied required | Eligible projects: ev_charger | Property must be located in a designated low-income community or non-urban census tract. Claimed on IRS Form 8911. | Administered by: Internal Revenue Service,"30% (up to $1,000)",2032-12-31,2026-05-04,No,https://www.irs.gov/credits-deductions/alternative-fuel-vehicle-refueling-property-credit
Federal Clean Vehicle Tax Credit (Section 30D),USA,Federal,Tax Credits,ALL,"Tax credit for qualifying new plug-in electric and fuel-cell vehicles, structured as $3,750 for critical minerals + $3,750 for battery components requirements.","Income-qualified | Eligible projects: ev_purchase | Income limits: $300K joint, $225K head of household, $150K single. MSRP cap $80K for SUVs/trucks/vans, $55K for cars. Vehicle must be assembled in North America. | Administered by: Internal Revenue Service","Up to $7,500",2032-12-31,2026-05-04,No,https://www.irs.gov/credits-deductions/credits-for-new-clean-vehicles-purchased-in-2023-or-after
Federal Used Clean Vehicle Tax Credit (Section 25E),USA,Federal,Tax Credits,ALL,Tax credit for qualifying used EVs / plug-in hybrids purchased from a dealer.,"Income-qualified | Eligible projects: ev_purchase | Income limits: $150K joint, $112,500 head of household, $75K single. Sale price <= $25,000. Vehicle must be at least 2 model years old. Buyer cannot have claimed the credit in prior 3 years. | Administered by: Internal Revenue Service","Up to $4,000",2032-12-31,2026-05-04,No,https://www.irs.gov/credits-deductions/used-clean-vehicle-credit
DOE Weatherization Assistance Program (Federal WAP),USA,Federal,Grants,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,Federal Weatherization Assistance Program funded by DOE and delivered through state and local sub-grantees. Provides home energy upgrades at no cost to the household.,"Income-qualified | Eligible projects: air_sealing, duct_sealing, hvac, insulation, weatherization | Households at or below 200% of federal poverty level, automatically eligible if receiving SSI or TANF. In Florida administered by the Department of Commerce and delivered locally (Hillsborough County is a sub-grantee). | Administered by: U.S. Department of Energy / Florida Department of Commerce","Up to $8,500",Ongoing,2026-05-04,No,https://www.energy.gov/scep/wap/weatherization-assistance-program
LIHEAP (Low Income Home Energy Assistance Program),USA,Federal,Grants,CONDO; MULTIFAMILY; SFH; TOWNHOUSE,"Federally-funded household energy assistance for income-qualified households, including bill payment, crisis benefits, and limited weatherization.","Income-qualified | Eligible projects: bill_payment, energy_crisis | Households at or below 60% of state median income or 150% of federal poverty guidelines (Florida threshold). Apply through your local community action agency. | Administered by: U.S. Department of Health and Human Services / Florida Department of Commerce","Up to $2,000",Ongoing,2026-05-04,No,https://www.acf.hhs.gov/ocs/programs/liheap
USDA Section 504 Home Repair Loan and Grant,USA,Federal,Finance Solutions,SFH,"USDA Rural Development program for very-low-income rural homeowners to repair, improve, or modernize their homes, or remove health and safety hazards.","Owner-occupied required | Income-qualified (≤ 50% AMI) | Eligible projects: accessibility, code_repair, rehab, weatherization | Property must be in an eligible USDA-designated rural area (parts of Hillsborough County qualify). Applicant must be 62+ to receive the grant component. Maximum grant + loan combined: $50,000. | Administered by: USDA Rural Development","Up to $40,000",Ongoing,2026-05-04,No,https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants/fl
HUD Section 203(k) Rehabilitation Mortgage Insurance,USA,Federal,Finance Solutions,CONDO; SFH; TOWNHOUSE,FHA-insured loan product allowing borrowers to finance both purchase (or refi) and rehabilitation of a residential property in a single mortgage.,"Owner-occupied required | Eligible projects: purchase_plus_rehab, rehab | Property must be a 1-4 unit primary residence. Loan limit follows local FHA limit (approximately $498,000-$524,000 for Hillsborough County in 2026). Limited 203(k) covers projects up to $35,000. | Administered by: U.S. Department of Housing and Urban Development","Up to $750,000",Ongoing,2026-05-04,No,https://www.hud.gov/program_offices/housing/sfh/203k
VA Energy Efficient Mortgage (EEM),USA,Federal,Finance Solutions,CONDO; SFH; TOWNHOUSE,VA-guaranteed loan add-on that allows eligible veterans to roll energy-efficiency improvement costs into a VA purchase or refinance loan.,"Owner-occupied required | Eligible projects: energy_efficiency, hvac, weatherization, windows | Borrower must be eligible for VA loan benefits. Improvements must be cost-effective per VA energy audit. Available on VA purchase, refinance, and IRRRL loans. | Administered by: U.S. Department of Veterans Affairs","Up to $6,000",Ongoing,2026-05-04,No,https://www.benefits.va.gov/HOMELOANS/purchaseco_eem.asp
Federal Solar Investment Tax Credit (ITC) - Commercial,USA,Federal,Tax Credits,COMMERCIAL; MULTIFAMILY,"Federal investment tax credit for commercial-scale solar, storage, and other qualifying clean-energy property. Bonus 10% adders available for domestic content and energy-community placement; up to 20% additional for low-income communities.","Eligible projects: battery_storage, geothermal, solar_pv, wind | Available to businesses, non-profits (via direct pay), and tax-exempt organizations. Owners of multifamily housing can apply. Includes prevailing-wage / apprenticeship requirements above 1 MW. | Administered by: Internal Revenue Service",30%,2034-12-31,2026-05-04,No,https://www.irs.gov/credits-deductions/businesses/clean-electricity-investment-credit
TECO Energy Planner Heat Pump Rebate,FL,Tampa Electric (TECO) territory,Rebates,CONDO; SFH; TOWNHOUSE,Tampa Electric residential rebate for replacing electric resistance or older HVAC with a qualifying high-efficiency heat pump.,Owner-occupied required | Eligible projects: heat_pump | Customer must be on TECO residential service. System must meet TECO's minimum SEER/HSPF efficiency thresholds. Rebate paid after installation and inspection. | Administered by: Tampa Electric,Up to $265,Ongoing,2026-05-04,No,https://www.tampaelectric.com/residential/saveenergy/
TECO Ceiling Insulation Rebate,FL,Tampa Electric (TECO) territory,Rebates,CONDO; SFH; TOWNHOUSE,Rebate for upgrading attic insulation to TECO's qualifying R-value level.,Owner-occupied required | Eligible projects: insulation | Existing insulation must be R-19 or below; upgrade must reach R-30 or higher. Rebate paid after post-install inspection. | Administered by: Tampa Electric,Up to $200,Ongoing,2026-05-04,No,https://www.tampaelectric.com/residential/saveenergy/
TECO Window Solar Screen Rebate,FL,Tampa Electric (TECO) territory,Rebates,CONDO; SFH; TOWNHOUSE,Per-square-foot rebate for adding exterior solar screens to reduce solar heat gain.,Owner-occupied required | Eligible projects: solar_screens | Exterior screens only; interior films or shades are not eligible. | Administered by: Tampa Electric,$0.40 per unit,Ongoing,2026-05-04,No,https://www.tampaelectric.com/residential/saveenergy/
TECO Duct Test and Repair Rebate,FL,Tampa Electric (TECO) territory,Rebates,CONDO; SFH; TOWNHOUSE,Rebate for measured duct leakage reduction performed by a participating contractor.,Owner-occupied required | Eligible projects: duct_sealing | Leakage reduction must be verified via Duct Blaster test pre/post. | Administered by: Tampa Electric,Up to $125,Ongoing,2026-05-04,No,https://www.tampaelectric.com/residential/saveenergy/
TECO Energy Audit (Free),FL,Tampa Electric (TECO) territory,Rebates,CONDO; SFH; TOWNHOUSE,No-cost residential energy audit identifying upgrade opportunities and TECO rebates.,Eligible projects: home_energy_audit | Limited to TECO residential service customers. Schedule via tampaelectric.com. | Administered by: Tampa Electric,Free in-home or virtual energy audit for residential customers.,Ongoing,2026-05-04,No,https://www.tampaelectric.com/residential/saveenergy/energyaudit/
TECO ENERGY STAR Smart Thermostat Rebate,FL,Tampa Electric (TECO) territory,Rebates,CONDO; SFH; TOWNHOUSE,Bill-credit rebate for adopting smart-thermostat control of HVAC.,Eligible projects: smart_thermostat | Customer must enroll in TECO's Energy Planner or related demand-response program. | Administered by: Tampa Electric,Up to $50,Ongoing,2026-05-04,No,https://www.tampaelectric.com/residential/saveenergy/energystarsmartthermostat/
TECO Prime Time Plus Demand Response,FL,Tampa Electric (TECO) territory,Rebates,CONDO; SFH; TOWNHOUSE,TECO demand-response program for residential central AC customers.,Eligible projects: demand_response | Requires installation of a TECO-supplied switch on the AC condenser. | Administered by: Tampa Electric,Up to $84,Ongoing,2026-05-04,No,https://www.tampaelectric.com/residential/saveenergy/primetimeplus/
TECO Neighborhood Weatherization Program,FL,Tampa Electric (TECO) territory,Grants,CONDO; SFH; TOWNHOUSE,No-cost weatherization program for income-qualified TECO residential customers.,"Income-qualified | Eligible projects: duct_sealing, insulation, weatherization | Income-eligibility threshold set by TECO program guidelines (generally <=200% of federal poverty level). | Administered by: Tampa Electric","Up to $2,500",Ongoing,2026-05-04,No,https://www.tampaelectric.com/residential/saveenergy/neighborhoodweatherization/
TECO Energy Star New Construction Incentive,FL,Tampa Electric (TECO) territory,Rebates,CONDO; SFH; TOWNHOUSE,Per-home incentive for builders constructing ENERGY STAR-certified homes in TECO service territory.,Owner-occupied required | Eligible projects: new_construction | Builder must enroll in TECO's ENERGY STAR program and meet HERS Index thresholds. | Administered by: Tampa Electric,Up to $750,Ongoing,2026-05-04,No,https://www.tampaelectric.com/residential/saveenergy/energystarnewconstruction/
Peoples Gas High-Efficiency Natural Gas Equipment Rebate,FL,Peoples Gas territory,Rebates,CONDO; SFH; TOWNHOUSE,Rebates for installing qualifying high-efficiency natural-gas equipment.,Owner-occupied required | Eligible projects: natural_gas_appliance | Residential Peoples Gas customers; equipment must be installed by a licensed contractor. | Administered by: Peoples Gas (TECO Energy) [needs review: low confidence (0.66)],Up to $475,Ongoing,2026-05-04,Yes,https://www.peoplesgas.com/residential/save-energy-and-money/
Duke Energy Florida Smart $aver Heat Pump Rebate,FL,Duke Energy Florida territory,Rebates,CONDO; SFH; TOWNHOUSE,Rebate for installing a qualifying high-efficiency heat pump on a Duke Energy Florida residential account.,Owner-occupied required | Eligible projects: heat_pump | Customer must be on Duke Energy Florida residential service. System efficiency must meet program minimums. | Administered by: Duke Energy Florida,Up to $350,Ongoing,2026-05-04,No,https://www.duke-energy.com/home/products/save-energy-and-money
