program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links,extraction_source
Flood Mitigation Assistance (FMA),USA,Federal,Grants,All,Flood Mitigation Assistance (FMA),Administered by: FEMA [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)],See program page,Unknown,2026-05-15,Yes,https://www.fema.gov/grants/mitigation/hazard-mitigation,llm
HMGP Post Fire,USA,Federal,Grants,All,HMGP Post Fire,Administered by: FEMA [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)],See program page,Unknown,2026-05-15,Yes,https://www.fema.gov/grants/mitigation/hazard-mitigation,llm
Pre-Disaster Mitigation (PDM) Grant Program,USA,Federal,Grants,All,Pre-Disaster Mitigation (PDM) Grant Program,Administered by: FEMA [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)],See program page,Unknown,2026-05-15,Yes,https://www.fema.gov/grants/mitigation/hazard-mitigation,llm
Safeguarding Tomorrow RLF Program,USA,Federal,Grants,All,Safeguarding Tomorrow RLF Program,Administered by: FEMA [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)],See program page,Unknown,2026-05-15,Yes,https://www.fema.gov/grants/mitigation/hazard-mitigation,llm
National Dam Safety Program,USA,Federal,Grants,All,National Dam Safety Program,Administered by: FEMA [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)],See program page,Unknown,2026-05-15,Yes,https://www.fema.gov/grants/mitigation/hazard-mitigation,llm
Building Resilient Infrastructure and Communities (BRIC),USA,Federal,Grants,CRITICAL FACILITIES; PUMP STATIONS; SCHOOLS,"BRIC is a federal hazard mitigation program that makes federal funds available to states, U.S. territories, federally recognized Tribal Nations, and local governments to support pre-disaster and hazard mitigation activities to improve resilience of infrastructure and reduce future disaster costs.","Eligible projects: pre-disaster hazard mitigation projects, relocating critical facilities out of flood areas, school safe rooms, securing pump stations, upgrading and modernizing infrastructure to mitigate natural hazard risks, utility hardening | Eligible applicants and subapplicants include states, U.S. territories, federally recognized Tribal Nations, and local governments. Eligible applicants and subapplicants must apply through the FEMA Grants Outcomes (FEMA GO) portal. Previous subapplications submitted for the initial BRIC funding opportunity published in January 2025 will not be reviewed; applicants are encouraged to review, update, and resubmit under the Fiscal Years 2024-25 funding opportunity. | Administered by: Federal Emergency Management Agency (FEMA) [needs review: amount unspecified]",See program page,2026-07-23,2026-05-15,Yes,https://www.fema.gov/grants/mitigation/building-resilient-infrastructure-communities,llm
Flood Mitigation Assistance Grant Program,USA,Federal,Grants,BUILDINGS INSURED BY THE NATIONAL FLOOD INSURANCE PROGRAM (NFIP),"A competitive FEMA grant program that provides funding to state, territory and local governments and federally recognized Tribal Nations to reduce or eliminate the risk of repetitive flood damage to buildings insured by the National Flood Insurance Program. Recipients are selected based on applicant project ranking, eligibility, and cost-effectiveness. Funding sources include the National Flood Insurance Fund and the Infrastructure Investment and Jobs Act. Grants are managed via FEMA GO for FY2020+ and Mitigation eGrants for FY2019 and earlier.","Eligible projects: Projects that reduce or eliminate the risk of repetitive flood damage to buildings and structures insured by the NFIP and within participating communities | Eligible applicants: state, territory, local governments, and federally recognized Tribal Nations; participating communities. FEMA requires state, local, and tribal governments and U.S. territories to develop and adopt hazard mitigation plans as a condition for receiving certain types of non-emergency disaster assistance, including funding for hazard mitigation assistance projects. | Administered by: Federal Emergency Management Agency (FEMA)","Up to $600,000,000","Applications are due by 3 p.m. on Thursday, Aug. 6, 2026 (deadline stated on page).",2026-05-15,No,https://www.fema.gov/grants/mitigation/floods,llm
203(k) Rehabilitation Mortgage Insurance Program Types,USA,Federal,Grants,SINGLE-FAMILY,203(k) Rehabilitation Mortgage Insurance Program Types,Eligible projects: rehabilitation | Administered by: U.S. Department of Housing and Urban Development (HUD) [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.40)],See program page,Unknown,2026-05-15,Yes,https://www.hud.gov/program_offices/housing/sfh/203k,llm
My Safe Florida Home Program,FL,Statewide,Grants,FLORIDA HOMEOWNERS,"Provides Florida homeowners with free wind-mitigation inspections and grant assistance for approved hurricane-strengthening home upgrades (e.g., roof improvements, impact windows/doors, garage door reinforcement, secondary water barrier), with grant funding available up to $10,000.","Owner-occupied required | Eligible projects: Garage Door Reinforcement, Impact Windows and Doors, Roof Improvements, Secondary Water Barrier Installation | Home must complete a free wind-mitigation inspection and qualify based on the inspection report; grants are for approved upgrades only. Contractors should be licensed and registered with the State of Florida. Inspection is the first step and a grant application is required after inspection if eligible.","Up to $10,000",Ongoing,2026-05-15,No,https://mysafeflhome.com/,llm
Homebuyer Program,FL,Statewide,Finance Solutions,PRIMARY RESIDENCE,State program offering 30-year fixed-rate first mortgage loans to first-time homebuyers through participating lenders.,"Income-qualified | Eligible projects: home purchase | Minimum credit score of 640; must work with an approved, participating Program Lender; approved Home Buyer Education required; purchase price must be below county limits; income must be below county limits; must meet IRS definition of a first-time homebuyer (cannot have owned AND occupied primary residence for the last three years prior to purchase). | Administered by: Florida Housing Finance Corporation",30-year fixed rate first mortgage loans to first time homebuyers through participating lenders,Ongoing,2026-05-15,No,https://www.floridahousing.org/programs/homebuyer-overview-page,llm
Florida Assist (FL Assist),FL,Statewide,Finance Solutions,PRIMARY RESIDENCE,Second mortgage down payment and closing cost assistance offered in conjunction with Florida Housing first mortgage loans.,Income-qualified | Eligible projects: home purchase | Down payment assistance available only when used with Florida Housing's first mortgage loan; not available as standalone assistance. | Administered by: Florida Housing Finance Corporation,"Up to $10,000; 0% non-amortizing, deferred second mortgage; not forgivable. Repayment deferred except upon sale, transfer, satisfaction of the first mortgage, refinancing, or when mortgagor ceases to occupy the property.",Ongoing,2026-05-15,No,https://www.floridahousing.org/programs/homebuyer-overview-page,llm
Florida Homeownership Loan Program (FL HLP) Second Mortgage,FL,Statewide,Finance Solutions,PRIMARY RESIDENCE,"Second mortgage offering $12,500 as down payment and closing cost assistance; partially deferred payment structure as described.",Income-qualified | Eligible projects: home purchase | Carries a monthly payment which may need to be considered in a borrower's debt-to-income (DTI) ratio when underwriting; down payment assistance only available when used with Florida Housing's first mortgage loan. | Administered by: Florida Housing Finance Corporation,"$12,500",Ongoing,2026-05-15,No,https://www.floridahousing.org/programs/homebuyer-overview-page,llm
"3%, 4% and 5% HFA Preferred and HFA Advantage PLUS Second Mortgage",FL,Statewide,Finance Solutions,PRIMARY RESIDENCE,Forgivable second mortgage option providing a percentage of the first mortgage amount to assist with down payment and closing costs when paired with eligible Florida Housing conventional first mortgage products.,Income-qualified | Eligible projects: home purchase | Forgivable second mortgage tied to use with specific Florida Housing conventional first mortgage products (HFA Preferred for TBA or HFA Advantage for TBA). | Administered by: Florida Housing Finance Corporation,"Offers 3%, 4% or 5% of the total loan amount in a forgivable second mortgage; forgiven at 20% per year over a 5-year term when used with Florida Housing's conventional HFA Preferred for TBA or HFA Advantage for TBA first mortgage products. The 'PLUS' Second Mortgage is available only with these conventional first mortgage products.",Ongoing,2026-05-15,No,https://www.floridahousing.org/programs/homebuyer-overview-page,llm
Florida Hometown Heroes Housing Program,FL,Statewide,Grants,All,Special program listed on the Florida Housing Homebuyer overview page; details not provided on this page.,Referenced as a special program; no program details provided on this page (link provided). | Administered by: Florida Housing Finance Corporation [needs review: incentive_type unresolved; amount unspecified; low confidence (0.60)],See program page,Ongoing,2026-05-15,Yes,https://www.floridahousing.org/programs/homebuyer-overview-page,llm
Homestead Exemption,FL,Statewide,Tax Credits,PERMANENT RESIDENCE,Homestead exemption that may decrease a property’s taxable value (see guide PT-113). Submit applications and documentation to the property appraiser in the county where the property is located.,Owner-occupied required | When someone owns property and makes it his or her permanent residence or the permanent residence of his or her dependent; qualifies the home for the Save Our Homes assessment limitation. | Administered by: County property appraiser,"Up to $50,000",Ongoing,2026-05-15,No,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Save Our Homes Assessment Limitation,FL,Statewide,Tax Credits,HOMESTEAD PROPERTY,Assessment limitation that applies to homestead property (see guide PT-112).,Owner-occupied required | Homestead exemption qualifies the home for the Save Our Homes assessment limitation. | Administered by: County property appraiser [needs review: amount unspecified],See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Portability Transfer (Portability of Save Our Homes assessment difference),FL,Statewide,Tax Credits,HOMESTEAD PROPERTY,Portability transfer of the Save Our Homes assessment difference to a new Florida homestead (see guide PT-112).,Owner-occupied required | A homeowner may be able to transfer or 'port' all or part of the assessment difference to a new Florida homestead. | Administered by: County property appraiser [needs review: amount unspecified],See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Fallen Heroes Family Tax Relief Act (Surviving Spouse Exemption),FL,Statewide,Tax Credits,HOMESTEAD PROPERTY,Total homestead exemption for qualifying surviving spouses of first responders who died in the line of duty (Fallen Heroes Family Tax Relief Act).,"Owner-occupied required | Surviving spouse of a first responder who died in the line of duty may receive a total exemption on homestead property; see section 196.081(6), F.S. | Administered by: County property appraiser",total exemption on homestead property for qualifying surviving spouses of first responders,Ongoing,2026-05-15,No,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Property Tax Benefits for Active Duty Military and Veterans (PT-109),FL,Statewide,Tax Credits,All,Informational guide on property tax benefits for active duty military and veterans (document PT-109).,Administered by: Florida Department of Revenue [needs review: amount unspecified],See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Property Tax Benefits For Persons 65 or Older (PT-110),FL,Statewide,Tax Credits,All,Informational guide on property tax benefits for persons 65 or older (document PT-110).,Administered by: Florida Department of Revenue [needs review: amount unspecified],See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Other Available Property Tax Benefits (PT-111),FL,Statewide,Tax Credits,All,Informational guide listing other available property tax benefits (document PT-111).,Administered by: Florida Department of Revenue [needs review: amount unspecified],See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Tangible Personal Property Tax (DR-405),FL,Statewide,Tax Credits,TANGIBLE PERSONAL PROPERTY,Tangible Personal Property Tax Return form (DR-405) related to tangible personal property tax (R. 01/18).,"Reference: section 196.183, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Economic Development Ad Valorem Property Tax Exemption (DR-418),FL,Statewide,Tax Credits,All,Economic Development Ad Valorem Property Tax Exemption (form DR-418).,"Eligible projects: economic development | Reference: section 196.1995, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Real Property Dedicated in Perpetuity for Conservation Exemption (DR-418C),FL,Statewide,Tax Credits,REAL PROPERTY DEDICATED IN PERPETUITY FOR CONSERVATION,Exemption application for real property dedicated in perpetuity for conservation (form DR-418C).,"Reference: sections 196.011 and 196.26, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Ad Valorem Tax Exemption for Proprietary Continuing Care Facility (DR-501CC),FL,Statewide,Tax Credits,PROPRIETARY CONTINUING CARE FACILITY,Ad valorem tax exemption application and return for proprietary continuing care facilities (form DR-501CC).,"Reference: section 196.1977, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
"Ad Valorem Tax Exemption for Charitable, Religious, Scientific, Literary Organizations, Hospitals, Nursing Homes, and Homes For Special Services (DR-504)",FL,Statewide,Tax Credits,"PROPERTY OF CHARITABLE, RELIGIOUS, SCIENTIFIC, LITERARY ORGANIZATIONS, HOSPITALS, NURSING HOMES, HOMES FOR SPECIAL SERVICES",Ad valorem tax exemption application and return for qualifying nonprofit and charitable entities (form DR-504).,"Reference: chapter 196, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Ad Valorem Tax Exemption for Multifamily Project and Affordable Housing Property (DR-504AFH),FL,Statewide,Tax Credits,MULTIFAMILY PROJECT AND AFFORDABLE HOUSING PROPERTY,Ad valorem tax exemption application and return for multifamily project and affordable housing property (form DR-504AFH).,"Reference: section 196.1978, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Ad Valorem Tax Exemption for Charter School Facilities (DR-504CS),FL,Statewide,Tax Credits,CHARTER SCHOOL FACILITIES,Ad valorem tax exemption application and return for charter school facilities (form DR-504CS).,"Reference: section 196.1983, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Ad Valorem Tax Exemption for Educational Property (DR-504ED),FL,Statewide,Tax Credits,EDUCATIONAL PROPERTY,Ad valorem tax exemption application and return for educational property (form DR-504ED).,"Reference: section 196.198, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Ad Valorem Tax Exemption for Nonprofit Homes for the Aged (DR-504HA),FL,Statewide,Tax Credits,NONPROFIT HOMES FOR THE AGED,Ad valorem tax exemption application and return for nonprofit homes for the aged (form DR-504HA).,"Reference: section 196.1975, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Ad Valorem Tax Exemption for Not-For-Profit Sewer and Water Company and Not-For-Profit Water and Wastewater Systems (DR-504W),FL,Statewide,Tax Credits,NOT-FOR-PROFIT SEWER AND WATER COMPANY PROPERTY; NOT-FOR-PROFIT WATER AND WASTEWATER SYSTEMS,Ad valorem tax exemption application and return for not-for-profit sewer and water companies and not-for-profit water and wastewater systems (form DR-504W).,"Reference: sections 196.2001 and 196.2002, F.S. | Administered by: County property appraiser [needs review: amount unspecified]",See program page,Ongoing,2026-05-15,Yes,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx,llm
Florida PACE Program,FL,Statewide,Finance Solutions,CONDOMINIUM; HOME; PROPERTY,"Property Assessed Clean Energy (PACE) style financing for home improvements in Florida administered by Florida PACE Funding Agency. Offers 100% financing with $0 down, fixed-rate payments that appear on the annual property tax bill, no adjustable interest rates, no balloon payments, and no prepayment fees. Hundreds of project types may qualify.","Eligible projects: Flood Mitigation, Generators, Roofing, Septic to Sewer Conversion, Shutters, Windows & Doors, air conditioner, energy-efficient solutions, roof replacement, solar panels | As of July 1, 2024, the Florida Legislature requires each County to approve PACE financing before it can be offered to residents. Check the program service map to see whether PACE is available in your county; inquiries can be kept on file to notify applicants when county approval occurs. | Administered by: Florida PACE Funding Agency",100%,Ongoing,2026-05-15,No,https://www.floridapace.gov/,llm
